,index,tournament_type,name,location,date,url,matches_downloaded
497,17,WSA Tour 5,NT Link Alice Springs Open (W),"Alice Springs, NT, Australia",19 May 2013,http://www.squashinfo.com/events/5396-womens-alice-springs-open-2013,True
498,18,WSA Tour 5,NT Open (W),"Darwin, Australia",12 May 2013,http://www.squashinfo.com/events/5394-womens-nt-open-2013,True
499,19,WSA Silver 35,Texas Open (W),"Dallas, USA",12 May 2013,http://www.squashinfo.com/events/5393-womens-texas-open-2013,True
500,0,WSA Tour 5,UCT Open (W),"Cape Town, South Africa",4 May 2013,http://www.squashinfo.com/events/5387-womens-uct-open-2013,True
501,1,WSA Tour 5,SRAM NSC Series No2 (W),"Kuala Lumpur, Malaysia",28 Apr 2013,http://www.squashinfo.com/events/5373-womens-nsc-series-no2-2013,True
502,2,WSA Tour 15,Cannon Kirk Homes Irish Open (W),"Dublin, Ireland",27 Apr 2013,http://www.squashinfo.com/events/5364-womens-irish-open-2013,True
503,3,WSA Tour 5,NSA Open (W),"Pretoria, South Africa",19 Apr 2013,http://www.squashinfo.com/events/5338-womens-nsa-open-2013,True
504,4,WSA Tour 5,Assore Central Gauteng Open (W),"Johannesburg, South Africa",12 Apr 2013,http://www.squashinfo.com/events/5331-womens-central-gauteng-open-2013,True
505,5,WSA World Series Gold,CIMB KL Open (W),"Kuala Lumpur, Malaysia",31 Mar 2013,http://www.squashinfo.com/events/5314-womens-kl-open-2013,True
506,6,WSA Tour 15,Granite Open (W),"Toronto, Canada",28 Mar 2013,http://www.squashinfo.com/events/5311-womens-granite-club-open-2013,True
507,7,WSA Tour 5,Swiss Open (W),"Geneva, Switzerland",24 Mar 2013,http://www.squashinfo.com/events/5309-womens-swiss-open-2013,True
508,8,WSA Tour 10,Mayfair Open (W),"Toronto, Canada",23 Mar 2013,http://www.squashinfo.com/events/5310-womens-mayfair-open-2013,True
509,9,WSA Tour 5,SRAM NSC Series No1 (W),"Kuala Lumpur, Malaysia",15 Mar 2013,http://www.squashinfo.com/events/5301-womens-nsc-series-no1-2013,True
510,10,WSA Tour 10,CourtCare Open (W),"Chorley, Lancs, England",3 Mar 2013,http://www.squashinfo.com/events/5289-womens-courtcare-open-2013,True
511,11,WSA Tour 5,Montreal Open (W),"Montreal, Canada",1 Mar 2013,http://www.squashinfo.com/events/5288-womens-montreal-open-2013,True
512,12,WSA Tour 5,Savcor Finnish Open (W),"Mikkeli, Finland",11 Feb 2013,http://www.squashinfo.com/events/5236-womens-finnish-open-2013,True
513,13,WSA Tour 10,CSC Delaware Open (W),"Wilmington, Delaware, USA",8 Feb 2013,http://www.squashinfo.com/events/5234-womens-delaware-open-2013,True
514,14,WSA Gold 50,Tub O'Towels Cleveland Classic (W),"Cleveland, Ohio, USA",5 Feb 2013,http://www.squashinfo.com/events/5221-womens-cleveland-classic-2013,True
515,15,WSA Tour 15,Meadowood Pharmacy Winnipeg Winter Club Open (W),"Winnipeg, Canada",3 Feb 2013,http://www.squashinfo.com/events/5219-womens-winnipeg-winter-club-open-2013,True
516,16,WSA Tour 5,Australia Day Challenge (W),"Brisbane, Australia",28 Jan 2013,http://www.squashinfo.com/events/5216-womens-australia-day-challenge-2013,True
517,17,WSA Silver 35,glo Greenwich Open (W),"Greenwich, CT, USA",28 Jan 2013,http://www.squashinfo.com/events/5218-womens-greenwich-open-2013,True
518,18,WSA Tour 5,Edinburgh Open (W),"Edinburgh, Scotland",27 Jan 2013,http://www.squashinfo.com/events/5217-womens-edinburgh-open-2013,True
519,19,WSA Silver 25,JP Morgan Tournament of Champions (W),"New York, USA",24 Jan 2013,http://www.squashinfo.com/events/5214-womens-tournament-of-champions-2013,True
520,0,WSA Tour 5,Liberty Bell Open (W),"Berwyn, PA, USA",13 Jan 2013,http://www.squashinfo.com/events/5213-womens-liberty-bell-open-2013,True
521,1,WSA World Grand Prix Finals,ATCO WSA World Series Finals (W),"London, England",6 Jan 2013,http://www.squashinfo.com/events/5200-womens-world-series-finals-2013,True
522,2,WSA Tour 10,Colwyn Classic (W),"Rhos-on-Sea, Wales",23 Dec 2012,http://www.squashinfo.com/events/5178-womens-colwyn-classic-2012,True
523,3,WSA Tour 5,Harrow Prague Open (W),"Prague, Czech Republic",22 Dec 2012,http://www.squashinfo.com/events/5180-womens-prague-open-2012,True
524,4,WSA World Series Platinum,Cayman Islands WSA World Open (W),"Grand Cayman, Cayman Islands",21 Dec 2012,http://www.squashinfo.com/events/4788-womens-world-open-2012,True
525,5,WSA Tour 5,Harrow Mediterranean Open (W),"Sliema, Malta",15 Dec 2012,http://www.squashinfo.com/events/5177-womens-mediterranean-open-2012,True
526,6,WSA World Series Gold,Cathay Pacific Sun Hung Kai Financial Hong Kong Open (W),Hong Kong,2 Dec 2012,http://www.squashinfo.com/events/5162-womens-hong-kong-open-2012,True
527,7,WSA Tour 10,Madison Open (W),"Madison, Wisconsin, USA",2 Dec 2012,http://www.squashinfo.com/events/5171-womens-madison-open-2012,True
528,8,WSA Tour 10,McWil NSA Fall Classic (W),"Toronto, Canada",24 Nov 2012,http://www.squashinfo.com/events/5163-womens-fall-classic-2012,True
529,9,WSA Tour 5,Caboolture Open (W),"Caboolture, Australia",11 Nov 2012,http://www.squashinfo.com/events/5154-womens-caboolture-open-2012,True
530,10,WSA Tour 15,Abierto Mexicano de Raquetas (W),"Toluca, Mexico",4 Nov 2012,http://www.squashinfo.com/events/5140-womens-abierto-mexicano-de-raquetas-2012,True
531,11,WSA Tour 5,Mackay Open (W),"Mackay, Queensland, Australia",4 Nov 2012,http://www.squashinfo.com/events/5153-womens-mackay-open-2012,True
532,12,WSA Silver 20,Monte Carlo Classic (W),"Monte Carlo, Monaco",2 Nov 2012,http://www.squashinfo.com/events/5135-womens-monte-carlo-classic-2012,True
533,13,WSA Gold 50,Lujiazui Finance City China Open (W),"Shanghai, China",28 Oct 2012,http://www.squashinfo.com/events/5134-womens-china-open-2012,True
534,14,WSA Tour 10,Pyramid International (W),"Tuckahoe, NY, USA",28 Oct 2012,http://www.squashinfo.com/events/5139-womens-pyramid-international-2012,True
