,index,tournament_type,name,location,date,url,matches_downloaded
1742,2,PSA Super Satellite,Bieber Securities Fall Classic (M),"Winnipeg, Canada",5 Nov 2006,http://www.squashinfo.com/events/2733-mens-fall-classic-2006,True
1743,3,PSA 2 Star,Coastal Contacts Jericho Open (M),"Vancouver, Canada",5 Nov 2006,http://www.squashinfo.com/events/2663-mens-jericho-open-2006,True
1744,4,PSA 1 Star,Saskatoon Boast Open (M),"Saskatoon, Canada",29 Oct 2006,http://www.squashinfo.com/events/2662-mens-saskatoon-boast-open-2006,True
1745,5,PSA Super Satellite,McWIL Dunlop Polish Open (M),"Krakow, Poland",28 Oct 2006,http://www.squashinfo.com/events/2656-mens-polish-open-2006,True
1746,6,PSA 1 Star,GoodLife Open (M),"Ottawa, Canada",22 Oct 2006,http://www.squashinfo.com/events/2661-mens-goodlife-open-2006,True
1747,7,PSA Super Series Platinum,Cathay Pacific Swiss Privilege Hong Kong Open (M),Hong Kong,22 Oct 2006,http://www.squashinfo.com/events/2578-mens-hong-kong-open-2006,True
1748,8,PSA Super Satellite,Bymac Leinster Open (M),"Dublin, Ireland",22 Oct 2006,http://www.squashinfo.com/events/2700-mens-leinster-open-2006,True
1749,9,PSA 1 Star,Baltimore Cup (M),"Baltimore, USA",15 Oct 2006,http://www.squashinfo.com/events/2575-mens-baltimore-cup-2006,True
1750,10,PSA 5 Star,Village Open (M),"New York, USA",12 Oct 2006,http://www.squashinfo.com/events/2497-mens-village-open-2006,True
1751,11,PSA 2 Star,Berkshire Open (M),"Williamstown, Mass, USA",7 Oct 2006,http://www.squashinfo.com/events/2660-mens-berkshire-open-2006,True
1752,12,PSA 1 Star,Cuauhtemoc Mexican Open (M),"Mexico City, Mexico",2 Oct 2006,http://www.squashinfo.com/events/2552-mens-mexican-open-2006,True
1753,13,PSA 5 Star,Hungarian Open (M),"Budapest, Hungary",1 Oct 2006,http://www.squashinfo.com/events/2396-mens-hungarian-open-2006,True
