,tournament_index,round,players,result
0,0,Quarter-finals,[1] Tayyab Aslam (PAK) bt Farhan Hashmi (PAK),"7-11, 11-9, 11-5, 11-5 (32m)"
1,0,Quarter-finals,[7] Israr Ahmed (PAK) bt [9/16] Waqas Mehboob (PAK),"11-3, 11-3, 11-8 (23m)"
2,0,Quarter-finals,[4] Amaad Fareed (PAK) bt [5] Farhan Zaman (PAK),"11-8, 11-7, 12-10 (25m)"
3,0,Quarter-finals,[9/16] Nasir Iqbal (PAK) bt [2] Asim Khan (PAK),"11-9, 11-2, 7-11, 11-5 (42m)"
4,0,2nd round,[1] Tayyab Aslam (PAK) bt [9/16] Noor Zaman (PAK),"11-1, 11-9, 11-9 (25m)"
5,0,2nd round,Farhan Hashmi (PAK) bt [8] Zahir Shah (PAK),"11-2, 11-7, 11-7 (23m)"
6,0,2nd round,[7] Israr Ahmed (PAK) bt [9/16] Syed Ali Mujtaba Shah Bokhari (PAK),"11-8, 11-5, 11-7 (29m)"
7,0,2nd round,[9/16] Waqas Mehboob (PAK) bt [3] Farhan Mehboob (PAK),"11-8, 11-9, 11-7 (24m)"
8,0,2nd round,[4] Amaad Fareed (PAK) bt [9/16] Muhammad Bilal (ITA),"9-11, 11-7, 11-8, 11-2 (26m)"
9,0,2nd round,[5] Farhan Zaman (PAK) bt [9/16] Haris Qasim (PAK),"11-7, 11-4, 11-8 (26m)"
10,0,2nd round,[9/16] Nasir Iqbal (PAK) bt [6] Danish Atlas Khan (PAK),"11-2, 12-10, 11-5 (23m)"
11,0,2nd round,[2] Asim Khan (PAK) bt [WC] Zeeshan Zeb (PAK),"11-7, 11-7, 11-7 (35m)"
12,0,1st round,[1] Tayyab Aslam (PAK),bye
13,0,1st round,[9/16] Noor Zaman (PAK) bt [WC] Hamza Khan (PAK),"11-9, 11-9, 11-8 (26m)"
14,0,1st round,Farhan Hashmi (PAK) bt [9/16] Naveed Rehman (PAK),"11-1, 11-4, 11-4 (12m)"
15,0,1st round,[8] Zahir Shah (PAK),bye
16,0,1st round,[7] Israr Ahmed (PAK),bye
17,0,1st round,[9/16] Syed Ali Mujtaba Shah Bokhari (PAK) bt Bilal Zakir (PAK),"11-7, 11-7, 9-11, 9-11, 11-7 (52m)"
18,0,1st round,[9/16] Waqas Mehboob (PAK) bt Muhammad Farhan (PAK),"11-9, 11-4, 11-9 (18m)"
19,0,1st round,[3] Farhan Mehboob (PAK),bye
20,0,1st round,[4] Amaad Fareed (PAK),bye
21,0,1st round,[9/16] Muhammad Bilal (ITA) bt Muhammad Abdul Qadir (PAK),"7-11, 11-4, 11-5, 10-12, 11-8 (36m)"
22,0,1st round,[9/16] Haris Qasim (PAK) bt Salman Saleem (PAK),"11-9, 11-6, 11-9 (39m)"
23,0,1st round,[5] Farhan Zaman (PAK),bye
24,0,1st round,[6] Danish Atlas Khan (PAK),bye
25,0,1st round,[9/16] Nasir Iqbal (PAK) bt [WC] Hamza Sharif (PAK),"16-14, 6-11, 11-7, 11-7 (46m)"
26,0,1st round,[WC] Zeeshan Zeb (PAK) bt [9/16] Saeed Abdul (PAK),"11-9, 11-4, 9-11, 11-8 (36m)"
27,0,1st round,[2] Asim Khan (PAK),bye
28,1,Final,[2] Dimitri Steinmann (SUI) bt [1] Nicolas Müller (SUI),"9-11, 11-2, 11-9, 11-7 (64m)"
29,1,Semi-finals,[1] Nicolas Müller (SUI) bt [3] Robin Gadola (SUI),"11-5, 11-2, 11-5 (25m)"
30,1,Semi-finals,[2] Dimitri Steinmann (SUI) bt [4] Cédric Kuchen (SUI),"11-8, 11-6, 11-3 (41m)"
31,1,Quarter-finals,[1] Nicolas Müller (SUI) bt [5] Yannick Wilhelmi (SUI),"11-4, 11-6, 11-5 (24m)"
32,1,Quarter-finals,[3] Robin Gadola (SUI) bt [8] Nils Roesch (SUI),"11-9, 11-6, 8-11, 11-9 (42m)"
33,1,Quarter-finals,[4] Cédric Kuchen (SUI) bt [7] Miguel Mathis (SUI),"11-5, 11-3, 11-8 (32m)"
34,1,Quarter-finals,[2] Dimitri Steinmann (SUI) bt [9/16] Jakob Känel (SUI),"11-2, 11-5, 11-2 (20m)"
35,1,2nd round,[1] Nicolas Müller (SUI) bt [9/16] Sven Stettler (SUI),"11-4, 11-8, 11-7 (21m)"
36,1,2nd round,[5] Yannick Wilhelmi (SUI) bt [WC] Joel Siewerdt (SUI),"12-10, 9-11, 11-5, 9-11, 11-2 (50m)"
37,1,2nd round,[8] Nils Roesch (SUI) bt Lukas Burkhart (SUI),"9-11, 11-3, 11-4, 11-3 (34m)"
38,1,2nd round,[3] Robin Gadola (SUI) bt [9/16] David Bernet (SUI),"11-2, 11-3, 6-11, 11-1 (33m)"
39,1,2nd round,[4] Cédric Kuchen (SUI) bt [9/16] Andreas Dietzsch (SUI),"11-7, 11-4, 12-10 (32m)"
40,1,2nd round,[7] Miguel Mathis (SUI) bt [9/16] Luca Zatti (SUI),"8-11, 6-11, 11-7, 11-4, 11-6 (51m)"
41,1,2nd round,[9/16] Jakob Känel (SUI) bt [6] Amadeo Costa (SUI),"11-4, 11-5, 11-5 (19m)"
42,1,2nd round,[2] Dimitri Steinmann (SUI) bt [9/16] Roman Allinckx (SUI),"10-12, 11-4, 11-6, 11-5 (41m)"
43,1,1st round,[1] Nicolas Müller (SUI),bye
44,1,1st round,[9/16] Sven Stettler (SUI) bt Noah Mannhart (SUI),"11-5, 11-4, 11-6 (22m)"
45,1,1st round,[WC] Joel Siewerdt (SUI) bt [9/16] Louai Hafez (SUI),"6-11, 11-4, 11-4, 11-9 (44m)"
46,1,1st round,[5] Yannick Wilhelmi (SUI),bye
47,1,1st round,[8] Nils Roesch (SUI),bye
48,1,1st round,Lukas Burkhart (SUI) bt [9/16] Jan Kurzmeyer (SUI),"11-6, 11-6, 11-5 (30m)"
49,1,1st round,[9/16] David Bernet (SUI) bt [WC] Michael Muller (SUI),"9-11, 11-1, 11-6, 11-0 (25m)"
50,1,1st round,[3] Robin Gadola (SUI),bye
51,1,1st round,[4] Cédric Kuchen (SUI),bye
52,1,1st round,[9/16] Andreas Dietzsch (SUI) bt [WC] Iain Keeling (SUI),"11-7, 11-4, 11-6 (24m)"
53,1,1st round,[9/16] Luca Zatti (SUI) bt [WC] Silvan Oertli (SUI),"11-5, 11-4, 11-2 (17m)"
54,1,1st round,[7] Miguel Mathis (SUI),bye
55,1,1st round,[6] Amadeo Costa (SUI),bye
56,1,1st round,[9/16] Jakob Känel (SUI) bt Christoph Zust (SUI),"8-11, 11-4, 11-4, 11-4 (39m)"
57,1,1st round,[9/16] Roman Allinckx (SUI) bt [WC] Mark Brunner (SUI),"11-5, 11-3, 11-6 (18m)"
58,1,1st round,[2] Dimitri Steinmann (SUI),bye
59,2,Final,[1] Tayyab Aslam (PAK) bt [2] Asim Khan (PAK),"11-2, 8-11, 11-3, 11-7 (37m)"
60,2,Semi-finals,[1] Tayyab Aslam (PAK) bt [3] Amaad Fareed (PAK),"11-6, 14-12, 11-8 (31m)"
61,2,Semi-finals,[2] Asim Khan (PAK) bt [5] Danish Atlas Khan (PAK),"11-9, 11-6, 11-2 (28m)"
62,2,Quarter-finals,[1] Tayyab Aslam (PAK) bt Nasir Iqbal (PAK),"11-7, 6-11, 11-13, 12-10, 12-10 (79m)"
63,2,Quarter-finals,[3] Amaad Fareed (PAK) bt [7] Zahir Shah (PAK),"11-8, 10-12, 11-9, 11-7 (30m)"
64,2,Quarter-finals,[5] Danish Atlas Khan (PAK) bt [4] Farhan Zaman (PAK),"11-8, 11-2, 11-4 (17m)"
65,2,Quarter-finals,[2] Asim Khan (PAK) bt [8] Waqas Mehboob (PAK),"11-4, 11-8, 11-9 (24m)"
66,2,1st round,[1] Tayyab Aslam (PAK) bt Muhammad Farhan (PAK),"11-2, 11-6, 11-4"
67,2,1st round,Nasir Iqbal (PAK) bt [6] Israr Ahmed (PAK),"11-7, 11-5, 11-5"
68,2,1st round,[7] Zahir Shah (PAK) bt [WC] Waqar Khan (PAK),"11-6, 12-14, 11-9, 11-4"
69,2,1st round,[3] Amaad Fareed (PAK) bt Saeed Abdul (PAK),"11-3, 11-5, 11-9"
70,2,1st round,[4] Farhan Zaman (PAK) bt Syed Ali Mujtaba Shah Bokhari (PAK),"9-11, 4-11, 11-6, 11-7, 11-5 (39m)"
71,2,1st round,[5] Danish Atlas Khan (PAK) bt Naveed Rehman (PAK),"11-0, 11-3, 11-3 (13m)"
72,2,1st round,[8] Waqas Mehboob (PAK) bt Muhammad Bilal (ITA),"7-11, 11-3, 11-4, 11-5 (29m)"
73,2,1st round,[2] Asim Khan (PAK) bt Noor Zaman (PAK),"11-13, 11-4, 9-11, 11-7, 11-9 (41m)"
74,3,Final,[1] Nicolas Müller (SUI) bt [2] Dimitri Steinmann (SUI),"11-4, 11-6, 11-6 (39m)"
75,3,Semi-finals,[1] Nicolas Müller (SUI) bt [4] Robin Gadola (SUI),"11-4, 11-9, 7-11, 15-13 (44m)"
76,3,Semi-finals,[2] Dimitri Steinmann (SUI) bt [6] Yannick Wilhelmi (SUI),"13-11, 11-8, 11-13, 11-4 (57m)"
77,3,Quarter-finals,[1] Nicolas Müller (SUI) bt [5] Cédric Kuchen (SUI),"11-7, 11-5, 11-3"
78,3,Quarter-finals,[4] Robin Gadola (SUI) bt [8] Nils Roesch (SUI),"11-3, 9-11, 11-8, 11-1"
79,3,Quarter-finals,[6] Yannick Wilhelmi (SUI) bt [3] Aqeel Rehman (AUT),"11-6, 5-11, 11-9, 11-9"
80,3,Quarter-finals,[2] Dimitri Steinmann (SUI) bt [7] Miguel Mathis (SUI),"12-10, 11-9, 12-10 (48m)"
81,3,2nd round,[1] Nicolas Müller (SUI) bt [9/16] David Maier (LIE),"11-7, 11-6, 11-1"
82,3,2nd round,[5] Cédric Kuchen (SUI) bt [9/16] Lukas Windischberger (AUT),"11-5, 11-5, 11-8"
83,3,2nd round,[8] Nils Roesch (SUI) bt [9/16] Luca Zatti (SUI),"13-11, 11-8, 11-3"
84,3,2nd round,[4] Robin Gadola (SUI) bt [9/16] Jakob Dirnberger (AUT),"11-8, 11-4, 11-2"
85,3,2nd round,[3] Aqeel Rehman (AUT) bt [9/16] Jakob Känel (SUI),"5-11, 11-5, 11-4, 11-4"
86,3,2nd round,[6] Yannick Wilhelmi (SUI) bt [9/16] Sven Stettler (SUI),"11-6, 11-4, 11-1"
87,3,2nd round,[7] Miguel Mathis (SUI) bt [WC] Patrick Miescher (SUI),"11-5, 12-10, 11-9"
88,3,2nd round,[2] Dimitri Steinmann (SUI) bt [9/16] Andreas Dietzsch (SUI),"11-6, 11-1, 11-6"
89,3,1st round,[1] Nicolas Müller (SUI),bye
90,3,1st round,[9/16] David Maier (LIE) bt Noah Mannhart (SUI),"11-4, 11-5, 11-2"
91,3,1st round,[9/16] Lukas Windischberger (AUT) bt Marlon Bernegger (SUI),"11-4, 11-4, 11-4"
92,3,1st round,[5] Cédric Kuchen (SUI),bye
93,3,1st round,[8] Nils Roesch (SUI),bye
94,3,1st round,[9/16] Luca Zatti (SUI) bt Sandro Schmitter (SUI),"11-6, 11-3, 11-7"
95,3,1st round,[9/16] Jakob Dirnberger (AUT) bt Jan Kurzmeyer (SUI),"11-3, 11-6, 11-5"
96,3,1st round,[4] Robin Gadola (SUI),bye
97,3,1st round,[3] Aqeel Rehman (AUT),bye
98,3,1st round,[9/16] Jakob Känel (SUI) bt [WC] Christoph Zust (SUI),"11-7, 11-0, 11-6"
99,3,1st round,[9/16] Sven Stettler (SUI) bt Louai Hafez (SUI),"11-6, 11-8, 10-12, 11-7"
100,3,1st round,[6] Yannick Wilhelmi (SUI),bye
101,3,1st round,[7] Miguel Mathis (SUI),bye
102,3,1st round,[WC] Patrick Miescher (SUI) bt [9/16] David Bernet (SUI),"11-7, 11-7, 7-11, 11-0"
103,3,1st round,[9/16] Andreas Dietzsch (SUI) bt Lukas Burkhart (SUI),"11-3, 12-10, 4-11, 7-11, 11-6 (47m)"
104,3,1st round,[2] Dimitri Steinmann (SUI),bye
105,4,Final,[2] Farkas Balazs (HUN) bt [1] Daniel Mekbib (CZE),"10-12, 14-12, 11-1, 11-5 (56m)"
106,4,Semi-finals,[1] Daniel Mekbib (CZE) bt [3] Aqeel Rehman (AUT),"11-9, 11-6, 4-11, 11-6 (40m)"
107,4,Semi-finals,[2] Farkas Balazs (HUN) bt [4] Yannik Omlor (GER),"14-12, 7-11, 11-8, 11-8 (59m)"
108,4,Quarter-finals,[1] Daniel Mekbib (CZE) bt [6] Ondrej Uherka (CZE),"11-7, 11-6, 14-12 (48m)"
109,4,Quarter-finals,[3] Aqeel Rehman (AUT) bt [8] Jakub Solnicky (CZE),"10-12, 11-7, 11-4, 16-14 (57m)"
110,4,Quarter-finals,[4] Yannik Omlor (GER) bt Robin Gadola (SUI),"4-11, 11-8, 11-6, 11-4 (52m)"
111,4,Quarter-finals,[2] Farkas Balazs (HUN) bt [7] Valentin Rapp (GER),"11-3, 11-7, 9-11, 11-7 (44m)"
112,4,1st round,[1] Daniel Mekbib (CZE) bt David Zeman (CZE),"11-3, 11-8, 11-8 (32m)"
113,4,1st round,[6] Ondrej Uherka (CZE) bt [WC] Jakob Dirnberger (AUT),"11-7, 11-3, 11-8 (39m)"
114,4,1st round,[8] Jakub Solnicky (CZE) bt Marek Panacek (CZE),"11-7, 11-2, 12-10 (33m)"
115,4,1st round,[3] Aqeel Rehman (AUT) bt Tobias Weggen (GER),"11-9, 11-3, 11-7 (26m)"
116,4,1st round,[4] Yannik Omlor (GER) bt Yannick Wilhelmi (SUI),"11-1, 12-10, 11-7 (44m)"
117,4,1st round,Robin Gadola (SUI) bt [5] Robert Downer (ENG),"13-11, 11-2, 8-11, 6-11, 12-10 (67m)"
118,4,1st round,[7] Valentin Rapp (GER) bt Viktor Byrtus (CZE),"6-11, 11-8, 12-10, 2-11, 11-8 (61m)"
119,4,1st round,[2] Farkas Balazs (HUN) bt Cédric Kuchen (SUI),"13-11, 11-5, 11-2 (27m)"
120,5,Final,[2] Ali Farag (EGY) bt [4] Paul Coll (NZL),"11-8, 6-11, 11-9, 11-9 (61m)"
121,5,Semi-finals,[4] Paul Coll (NZL) bt [9/16] Fares Dessouky (EGY),"11-9, 11-0, 11-0 (37m)"
122,5,Semi-finals,[2] Ali Farag (EGY) bt [3] Tarek Momen (EGY),"11-9, 11-2, 11-4 (37m)"
123,5,Quarter-finals,[9/16] Fares Dessouky (EGY) bt Youssef Ibrahim (EGY),"11-4, 12-14, 11-2, 10-12, 11-5 (66m)"
124,5,Quarter-finals,[4] Paul Coll (NZL) bt [6] Marwan Elshorbagy (EGY),"8-11, 11-4, 5-11, 11-9, 11-5 (75m)"
125,5,Quarter-finals,[3] Tarek Momen (EGY) bt [8] Joel Makin (WAL),"9-11, 11-7, 11-5, 8-11, 11-7 (79m)"
126,5,Quarter-finals,[2] Ali Farag (EGY) bt [5] Diego Elias (PER),"11-6, 6-11, 11-6, 9-11, 11-7 (69m)"
127,5,3rd round,Youssef Ibrahim (EGY) bt [1] Mohamed Elshorbagy (EGY),"11-9, 6-11, 3-11, 15-13, 11-6 (65m)"
128,5,3rd round,[9/16] Fares Dessouky (EGY) bt Borja Golan (ESP),"11-2, 12-10, 11-2 (34m)"
129,5,3rd round,[6] Marwan Elshorbagy (EGY) bt Raphael Kandra (GER),"11-4, 11-5, 11-7 (34m)"
130,5,3rd round,[4] Paul Coll (NZL) bt [9/16] Gregoire Marche (FRA),"7-11, 11-9, 9-11, 11-6, 11-5 (83m)"
131,5,3rd round,[3] Tarek Momen (EGY) bt [9/16] James Willstrop (ENG),"11-8, 11-3, 3-11, 11-4 (37m)"
132,5,3rd round,[8] Joel Makin (WAL) bt Lucas Serme (FRA),"11-7, 11-9, 11-7 (52m)"
133,5,3rd round,[5] Diego Elias (PER) bt [9/16] Miguel Rodriguez (COL),"11-5, 13-11, 11-9 (53m)"
134,5,3rd round,[2] Ali Farag (EGY) bt Eain Yow Ng (MAS),"11-5, 11-7, 11-7 (35m)"
135,5,2nd round,[1] Mohamed Elshorbagy (EGY) bt George Parker (ENG),"11-8, 11-6, 9-11, 11-8 (61m)"
136,5,2nd round,Youssef Ibrahim (EGY) bt Cesar Salazar (MEX),"4-11, 11-3, 12-10 ret. (35m)"
137,5,2nd round,Borja Golan (ESP) bt [9/16] Omar Mosaad (EGY),"11-7, 6-11, 11-6, 13-11 (68m)"
138,5,2nd round,[9/16] Fares Dessouky (EGY) bt [7] Simon Rösner (GER),"11-3, 11-9, 11-8 (39m)"
139,5,2nd round,[6] Marwan Elshorbagy (EGY) bt [WC] Gregory Gaultier (FRA),"11-7, 11-4, 11-6 (40m)"
140,5,2nd round,Raphael Kandra (GER) bt [9/16] Saurav Ghosal (IND),"10-12, 11-9, 11-4, 11-7 (46m)"
141,5,2nd round,[9/16] Gregoire Marche (FRA) bt Mohamed Elsherbini (EGY),"11-8, 11-7, 11-5 (42m)"
142,5,2nd round,[4] Paul Coll (NZL) bt Baptiste Masotti (FRA),"11-7, 11-5, 11-8 (38m)"
143,5,2nd round,[3] Tarek Momen (EGY) bt Youssef Soliman (EGY),"13-11, 9-11, 11-1, 11-5 (56m)"
144,5,2nd round,[9/16] James Willstrop (ENG) bt [9/16] Greg Lobban (SCO),"11-7, 13-15, 11-7, 11-7 (59m)"
145,5,2nd round,Lucas Serme (FRA) bt Tom Richards (ENG),"9-11, 11-9, 11-9, 11-6 (57m)"
146,5,2nd round,[8] Joel Makin (WAL) bt [9/16] Mohamed Abouelghar (EGY),"11-7, 11-3, 11-6 (33m)"
147,5,2nd round,[5] Diego Elias (PER) bt Abdulla Al-Tamimi (QAT),"11-9, 11-4, 11-8 (43m)"
148,5,2nd round,[9/16] Miguel Rodriguez (COL) bt Shahjahan Khan (USA),"11-3, 11-3, 11-6 (45m)"
149,5,2nd round,Eain Yow Ng (MAS) bt Declan James (ENG),"13-11, 11-7, 11-8 (42m)"
150,5,2nd round,[2] Ali Farag (EGY) bt Richie Fallows (ENG),"11-9, 11-8, 11-3 (28m)"
151,5,1st round,[1] Mohamed Elshorbagy (EGY),bye
152,5,1st round,George Parker (ENG) bt Victor Crouin (FRA),"9-11, 11-8, 4-11, 11-6, 11-9 (66m)"
153,5,1st round,Youssef Ibrahim (EGY) bt Nicolas Müller (SUI),"11-7, 4-11, 11-8, 11-7 (41m)"
154,5,1st round,Cesar Salazar (MEX) bt Auguste Dussourd (FRA),"11-5, 11-9, 11-6 (28m)"
155,5,1st round,[9/16] Omar Mosaad (EGY),bye
156,5,1st round,Borja Golan (ESP) bt Benjamin Aubert (FRA),"11-3, 11-2, 11-8 (23m)"
157,5,1st round,[9/16] Fares Dessouky (EGY),bye
158,5,1st round,[7] Simon Rösner (GER),bye
159,5,1st round,[6] Marwan Elshorbagy (EGY),bye
160,5,1st round,[WC] Gregory Gaultier (FRA) bt Iker Pajares Bernabeu (ESP),"10-12, 11-3, 11-9, 11-8 (57m)"
161,5,1st round,[9/16] Saurav Ghosal (IND),bye
162,5,1st round,Raphael Kandra (GER) bt Dimitri Steinmann (SUI),"5-11, 11-5, 11-5, 11-2 (43m)"
163,5,1st round,[9/16] Gregoire Marche (FRA),bye
164,5,1st round,Mohamed Elsherbini (EGY) bt [WC] Syed Azlan Amjad (QAT),"11-6, 11-8, 11-9 (31m)"
165,5,1st round,Baptiste Masotti (FRA) bt Ramit Tandon (IND),"11-6, 11-6, 11-2 (24m)"
166,5,1st round,[4] Paul Coll (NZL),bye
167,5,1st round,[3] Tarek Momen (EGY),bye
168,5,1st round,Youssef Soliman (EGY) bt Mazen Gamal (EGY),"11-7, 11-9, 11-5 (41m)"
169,5,1st round,[9/16] James Willstrop (ENG),bye
170,5,1st round,[9/16] Greg Lobban (SCO),bye
171,5,1st round,Tom Richards (ENG) bt Nathan Lake (ENG),"11-6, 11-9, 11-6 (33m)"
172,5,1st round,Lucas Serme (FRA) bt Todd Harrity (USA),"11-5, 12-14, 11-4, 14-12 (64m)"
173,5,1st round,[9/16] Mohamed Abouelghar (EGY),bye
174,5,1st round,[8] Joel Makin (WAL),bye
175,5,1st round,[5] Diego Elias (PER),bye
176,5,1st round,Abdulla Al-Tamimi (QAT) bt Patrick Rooney (ENG),"10-12, 11-3, 11-8, 8-11, 11-3 (54m)"
177,5,1st round,Shahjahan Khan (USA) bt Vikram Malhotra (IND),"11-9, 3-11, 11-4, 11-3 (35m)"
178,5,1st round,[9/16] Miguel Rodriguez (COL),bye
179,5,1st round,Eain Yow Ng (MAS) bt Karim El Hammamy (EGY),"8-11, 11-2, 11-6, 11-5 (46m)"
180,5,1st round,Declan James (ENG) bt Abdulrahman Al-Malki (QAT),"11-1, 11-8, 11-1 (24m)"
181,5,1st round,Richie Fallows (ENG) bt Tayyab Aslam (PAK),"11-5, 11-9, 11-9 (41m)"
182,5,1st round,[2] Ali Farag (EGY),bye
183,6,Final,[1] Ryosei Kobayashi (JPN) bt [8] Yannick Wilhelmi (SUI),"11-8, 11-5, 11-7 (36m)"
184,6,Semi-finals,[1] Ryosei Kobayashi (JPN) bt [3] Robert Downer (ENG),"11-6, 7-11, 11-7, 12-10 (49m)"
185,6,Semi-finals,[8] Yannick Wilhelmi (SUI) bt [2] Yannik Omlor (GER),"13-11, 8-11, 11-9, 11-6 (62m)"
186,6,Quarter-finals,[1] Ryosei Kobayashi (JPN) bt [7] Edwin Clain (FRA),"11-8, 11-8, 7-11, 11-5 (46m)"
187,6,Quarter-finals,[3] Robert Downer (ENG) bt [5] Robin Gadola (SUI),"11-8, 15-13, 4-11, 8-11, 11-6 (79m)"
188,6,Quarter-finals,[8] Yannick Wilhelmi (SUI) bt [4] Valentin Rapp (GER),"7-11, 12-10, 11-9, 9-11, 11-9 (90m)"
189,6,Quarter-finals,[2] Yannik Omlor (GER) bt [6] Cédric Kuchen (SUI),"6-11, 11-5, 11-3, 11-9 (50m)"
190,6,2nd round,[1] Ryosei Kobayashi (JPN) bt [11] Nils Roesch (SUI),"9-11, 11-6, 11-5, 11-7 (32m)"
191,6,2nd round,[7] Edwin Clain (FRA) bt [13] Julius Benthin (GER),"15-13, 11-2, 11-3 (31m)"
192,6,2nd round,[5] Robin Gadola (SUI) bt [15] Jakob Känel (SUI),"11-4, 11-4, 11-3 (26m)"
193,6,2nd round,[3] Robert Downer (ENG) bt [10] Miguel Mathis (SUI),"6-11, 11-4, 11-7, 11-6 (47m)"
194,6,2nd round,[4] Valentin Rapp (GER) bt [12] Sven Stettler (SUI),"11-4, 11-8, 11-9 (32m)"
195,6,2nd round,[8] Yannick Wilhelmi (SUI) bt [16] Andreas Dietzsch (SUI),"11-7, 11-6, 11-8 (30m)"
196,6,2nd round,[6] Cédric Kuchen (SUI) bt [9] Tobias Weggen (GER),"11-7, 11-3, 11-6 (29m)"
197,6,2nd round,[2] Yannik Omlor (GER) bt [14] Robin Ebert (GER),"11-7, 11-8, 4-2 ret. (31m)"
198,6,1st round,[1] Ryosei Kobayashi (JPN) bt David Bernet (SUI),"7-11, 11-6, 11-7, 11-5 (38m)"
199,6,1st round,[11] Nils Roesch (SUI) bt Noah Mannhart (SUI),"11-6, 11-4, 11-2 (20m)"
200,6,1st round,[13] Julius Benthin (GER) bt Younes Hafez (SUI),"11-6, 11-6, 11-2 (19m)"
201,6,1st round,[7] Edwin Clain (FRA) bt Florian Poessl (GER),"11-5, 11-6, 9-11, 11-13, 11-3 (40m)"
202,6,1st round,[5] Robin Gadola (SUI) bt Luca Wilhelmi (SUI),"9-11, 11-5, 11-8, 11-9 (41m)"
203,6,1st round,[15] Jakob Känel (SUI) bt Sandro Schmitter (SUI),"11-9, 11-9, 11-4 (27m)"
204,6,1st round,[10] Miguel Mathis (SUI) bt Lennard Hinrichs (GER),"11-2, 11-1, 11-3 (17m)"
205,6,1st round,[3] Robert Downer (ENG) bt Dennis Welte (GER),"11-1, 11-5, 11-3 (16m)"
206,6,1st round,[4] Valentin Rapp (GER) bt Michael Baumann (SUI),"11-6, 11-5, 11-6 (21m)"
207,6,1st round,[12] Sven Stettler (SUI) bt Luca Zatti (SUI),"9-11, 11-9, 11-4, 6-11, 11-3 (55m)"
208,6,1st round,[16] Andreas Dietzsch (SUI) bt Andreas Fritchi (SUI),"11-5, 11-4, 11-6 (19m)"
209,6,1st round,[8] Yannick Wilhelmi (SUI) bt Louai Hafez (SUI),"11-7, 11-2, 11-8 (28m)"
210,6,1st round,[6] Cédric Kuchen (SUI) bt Michael Muller (SUI),"11-4, 11-6, 11-9 (23m)"
211,6,1st round,[9] Tobias Weggen (GER) bt Marlon Bernegger (SUI),"11-3, 11-4, 11-1 (19m)"
212,6,1st round,[14] Robin Ebert (GER) bt Joel Siewerdt (SUI),"11-8, 12-10, 11-8 (77m)"
213,6,1st round,[2] Yannik Omlor (GER) bt David Maier (LIE),"11-9, 11-7, 11-4 (34m)"
214,7,Final,[1] Syed Azlan Amjad (QAT) bt [4] Abdulrahman Al-Malki (QAT),"11-3, 11-4, 11-4 (27m)"
215,7,Semi-finals,[1] Syed Azlan Amjad (QAT) bt [8] Yousef Farag (QAT),"11-2, 11-9, 11-0 (28m)"
216,7,Semi-finals,[4] Abdulrahman Al-Malki (QAT) bt [5] Waleed Zaman (QAT),"11-5, 9-11, 11-2, 12-10 (52m)"
217,7,Quarter-finals,[1] Syed Azlan Amjad (QAT) bt [6] Salem Al Malki (QAT),"11-4, 11-7, 11-8 (28m)"
218,7,Quarter-finals,[8] Yousef Farag (QAT) bt [3] Ibrahim Darwish (QAT),"9-11, 11-9, 11-9, 11-8 (45m)"
219,7,Quarter-finals,[4] Abdulrahman Al-Malki (QAT) bt [7] Yousef Al Kubaisi (QAT),"11-3, 11-3, 11-6 (16m)"
220,7,Quarter-finals,[5] Waleed Zaman (QAT) bt [2] Hamad Al Amri (QAT),"11-9, 11-1, 3-11, 7-11, 11-8 (40m)"
221,7,1st round,[1] Syed Azlan Amjad (QAT) bt Haitham Gouda (QAT),"11-4, 11-6, 11-8 (18m)"
222,7,1st round,[6] Salem Al Malki (QAT) bt Umair Zaman (QAT),"11-3, 11-3, 8-11, 11-6 (36m)"
223,7,1st round,[8] Yousef Farag (QAT) bt Khalid Hammadi (QAT),"11-7, 11-5, 11-7 (19m)"
224,7,1st round,[3] Ibrahim Darwish (QAT) bt Mohammed Tareq Alemadi (QAT),"11-4, 11-5, 11-8 (16m)"
225,7,1st round,[4] Abdulrahman Al-Malki (QAT) bt Abdullah Khalifa Saqar (QAT),"11-6, 11-9, 11-3 (22m)"
226,7,1st round,[7] Yousef Al Kubaisi (QAT) bt Gurshan Singh (MAS),"9-11, 9-11, 11-1, 11-3, 11-9 (45m)"
227,7,1st round,[5] Waleed Zaman (QAT) bt Ahmad Mohammed Al-Tamimi (QAT),"11-6, 11-8, 11-8 (23m)"
228,7,1st round,[2] Hamad Al Amri (QAT) bt Saleh Umar Zaman (QAT),"11-3, 11-5, 11-8 (19m)"
229,8,Final,[1] Ali Farag (EGY) bt [3] Tarek Momen (EGY),"11-8, 11-3, 11-4 (48m)"
230,8,Semi-finals,[1] Ali Farag (EGY) bt Mostafa Asal (EGY),"11-3, 11-7, 12-14, 11-4 (72m)"
231,8,Semi-finals,[3] Tarek Momen (EGY) bt [6] Marwan Elshorbagy (EGY),"5-11, 11-6, 3-11, 13-11, 11-6 (68m)"
232,8,Quarter-finals,[1] Ali Farag (EGY) bt [9/16] Gregory Gaultier (FRA),"11-5, 11-8, 11-9 (50m)"
233,8,Quarter-finals,Mostafa Asal (EGY) bt [4] Paul Coll (NZL),"8-11, 11-9, 4-11, 11-3, 12-10 (103m)"
