,tournament_index,round,players,result
2628,89,2nd round,Bryan Lim Tze Kang (MAS) bt [6] Lwamba Chileshe (NZL),"12-10, 11-5, 11-2 (35m)"
2629,89,2nd round,[7] Nicholas Calvert (AUS) bt Rohan Toole (AUS),"11-8, 10-12, 7-11, 11-6, 11-1 (47m)"
2630,89,2nd round,[2] Mohd Syafiq Kamal (MAS) bt Moustafa El Sirty (EGY),"11-6, 4-11, 11-5, 11-7 (37m)"
2631,89,1st round,[1] Evan Williams (NZL),bye
2632,89,1st round,Zac Millar (NZL) bt Benjamin Ratcliffe (AUS),"7-11, 11-3, 11-5, 11-9 (30m)"
2633,89,1st round,Atticus Kelly (USA) bt Mansoor Zaman (PAK),"11-7, 13-15, 9-11, 11-3, 11-7 (57m)"
2634,89,1st round,[8] Thomas Calvert (AUS),bye
2635,89,1st round,[5] Ryosei Kobayashi (JPN),bye
2636,89,1st round,Joel Arscott (NZL) bt David Turner (AUS),"11-3, 11-4, 6-11, 11-0 (30m)"
2637,89,1st round,Rhys Dowling (AUS) bt [WC] Jacob Ford (AUS),"2-11, 11-8, 11-6, 11-4 (43m)"
2638,89,1st round,[4] Angus Gillams (SCO),bye
2639,89,1st round,[3] Addeen Idrakie (MAS),bye
2640,89,1st round,Chang-Wook Woo (KOR) bt Courtney West (AUS),"11-6, 11-6, 11-9 (27m)"
2641,89,1st round,Bryan Lim Tze Kang (MAS) bt Jason Turner (AUS),"11-4, 11-7, 11-7 (27m)"
2642,89,1st round,[6] Lwamba Chileshe (NZL),bye
2643,89,1st round,[7] Nicholas Calvert (AUS),bye
2644,89,1st round,Rohan Toole (AUS) bt Shahzad Khan (AUS),"11-4, 11-6, 11-1 (16m)"
2645,89,1st round,Moustafa El Sirty (EGY) bt Damon MacMillan (AUS),"11-6, 11-4, 11-6 (17m)"
2646,89,1st round,[2] Mohd Syafiq Kamal (MAS),bye
2647,90,Final,[2] Angus Gillams (SCO) bt Moustafa El Sirty (EGY),"11-2, 7-11, 11-8, 11-4"
2648,90,Semi-finals,Moustafa El Sirty (EGY) bt [1] Evan Williams (NZL),"6-11, 11-9, 9-11, 11-8, 11-8"
2649,90,Semi-finals,[2] Angus Gillams (SCO) bt [5] Joseph White (AUS),"11-4, 11-3, 11-6"
2650,90,Quarter-finals,[1] Evan Williams (NZL) bt [8] Sion Wiggin (NZL),"11-4, 11-5, 11-7"
2651,90,Quarter-finals,Moustafa El Sirty (EGY) bt [6] Darren Chan (MAS),"11-8, 11-5, 13-11"
2652,90,Quarter-finals,[5] Joseph White (AUS) bt [4] Bryan Lim Tze Kang (MAS),"11-4, 11-9, 8-11, 11-8"
2653,90,Quarter-finals,[2] Angus Gillams (SCO) bt Atticus Kelly (USA),"9-11, 11-7, 11-9, 11-2"
